1497623016516373233,4999,6000,1087,0,1
1497623021780430491,4999,5000,1385,0,1
1497623027073143232,2048,6000,8470,0,1
1497623032352789083,4731,5000,1206,0,1
1497623037642913957,3237,6000,711,0,1
1497623042895196853,2071,5000,977,0,1
1497623048100021482,497,4000,0,0,1
1497623053317958409,382,3000,0,0,1
1497623058536406632,133,2000,0,0,1
1497623063739953782,41,1000,0,0,1
1497623071610547801,20,2000,0,2000,10
1497623076862794880,10,1000,0,2000,10
1497623084449755861,1940,2000,1792,2000,10
1497623090944345168,2006,3000,922,3000,30
1497623096441607034,1997,3000,457,2000,20
1497623101890977060,1997,2000,691,2000,20
1497623107166419551,2770,3000,1905,2000,20
1497623113222257034,3979,4000,1488,3000,30
1497623120735103696,3995,5000,1536,3000,30
1497623126903170097,3994,4000,1525,3000,30
1497623132997474647,3997,5000,1451,3000,30
1497623138324027318,3992,4000,1992,3000,30
1497623143689130523,3967,5000,2127,3000,30
1497623149812449007,3993,4000,1507,4000,40
1497623155490779093,3997,5000,1400,3000,30
1497623160845455772,3993,4000,1519,3000,30
1497623166190296506,3996,5000,1661,3000,30
1497623171481819677,3992,4000,1263,3000,30
1497623176751104636,3996,5000,1225,3000,30
1497623182119001225,3997,4000,1235,3000,30
1497623187527029043,3997,5000,1796,3000,30
1497623192993984012,3994,4000,1723,3000,30
1497623200161493122,3989,5000,2266,3000,30
1497623208001685535,4000,4000,1527,4000,40
1497623214482014726,4996,5000,1392,3000,30
1497623219886518300,5033,6000,1852,3000,30
1497623225278595322,5019,6000,1717,3000,30
1497623231487579738,5012,6000,1562,3000,30
1497623237395191597,5007,6000,1755,3000,30
1497623243972911440,5009,6000,2143,3000,30
1497623251358097766,5007,6000,1890,4000,40
1497623259361212217,4987,6000,1601,3000,30
1497623264723278565,4997,5000,1447,3000,30
1497623270143321549,4997,6000,1664,3000,30
1497623275670121796,5000,5000,1719,3000,30
1497623281131053134,6000,6000,1980,3000,30
1497623286437362501,6699,7000,1769,3000,30
1497623292508735827,5268,8000,1760,3000,30
1497623297792181687,4369,7000,2269,3000,30
1497623304096423530,4199,6000,1410,4000,40
1497623311006908889,4155,5000,1421,3000,30
1497623316346508441,4119,5000,1762,3000,30
1497623322638417765,4093,5000,1792,3000,30
1497623327974565969,3903,5000,1935,3000,30
